1,Alabama,75
2,Alaska,12
6,Arizona,32
7,Arkansas,86
18,California,345
22,Colorado,104
24,Connecticut,56
30,Delaware,9
38,Florida,267
39,Georgia,198
41,Hawaii,9
44,Idaho,3
45,Illinois,236
46,Indiana,79
47,Iowa,18
52,Kansas,456
53,Kentucky,63
58,Louisiana,24
62,Maine,36
64,Maryland,118
65,Massachusetts,148
66,Michigan,96
69,Minnesota,86
70,Mississippi,24
71,Missouri,93
72,Montana,3
73,Nebraska,24
74,Nevada,33
76,New Hampshire,9
77,New Jersey,123
78,New Mexico,21
81,New York,467
83,North Carolina,150
87,North Dakota,32
91,Ohio,180
92,Oklahoma,73
95,Oregon,21
96,Pennsylvania,223
107,Rhode Island,18
117,South Carolina,72
118,South Dakota,24
123,Tennessee,123
124,Texas,226
131,Utah,47
135,Vermont,6
138,Virginia,126
142,Washington,45
144,West Virginia,30
147,Wisconsin,117
149,Wyoming,12
